Распределение;n;Статистика;E(z);D(z);sqrt(D(z))
Нормальное;10;Среднее;-0.0102;0.0998;0.3158
Нормальное;10;Медиана;-0.0115;0.1345;0.3667
Нормальное;10;$z_R$;-0.0062;0.1942;0.4407
Нормальное;10;$z_Q$;-0.0117;0.1151;0.3393
Нормальное;10;Усечённое среднее;-0.0113;0.1035;0.3218
Нормальное;100;Среднее;-0.0038;0.0103;0.1015
Нормальное;100;Медиана;-0.0073;0.0154;0.1241
Нормальное;100;$z_R$;0.0034;0.0976;0.3124
Нормальное;100;$z_Q$;-0.0035;0.0129;0.1135
Нормальное;100;Усечённое среднее;-0.0049;0.0111;0.1053
Нормальное;1000;Среднее;0.0008;0.0009;0.0300
Нормальное;1000;Медиана;0.0008;0.0015;0.0383
Нормальное;1000;$z_R$;-0.0041;0.0653;0.2554
Нормальное;1000;$z_Q$;0.0020;0.0011;0.0331
Нормальное;1000;Усечённое среднее;0.0010;0.0010;0.0309
Коши;10;Среднее;-0.1944;873.2589;29.5510
Коши;10;Медиана;-0.0023;0.3481;0.5900
Коши;10;$z_R$;-0.8550;21600.5349;146.9712
Коши;10;$z_Q$;0.0293;0.8043;0.8968
Коши;10;Усечённое среднее;-0.0292;2.2191;1.4897
Коши;100;Среднее;-2.2731;15720.2858;125.3806
Коши;100;Медиана;-0.0012;0.0243;0.1559
Коши;100;$z_R$;-113.7056;39277831.4525;6267.2028
Коши;100;$z_Q$;-0.0043;0.0495;0.2225
Коши;100;Усечённое среднее;-0.0037;0.0504;0.2246
Коши;1000;Среднее;-0.7310;1114.2107;33.3798
Коши;1000;Медиана;-0.0003;0.0027;0.0522
Коши;1000;$z_R$;-349.7151;272565540.3231;16509.5591
Коши;1000;$z_Q$;0.0017;0.0053;0.0727
Коши;1000;Усечённое среднее;0.0011;0.0053;0.0727
Лапласа;10;Среднее;-0.0003;0.1001;0.3165
Лапласа;10;Медиана;0.0026;0.0726;0.2695
Лапласа;10;$z_R$;-0.0085;0.4132;0.6428
Лапласа;10;$z_Q$;-0.0003;0.0900;0.2999
Лапласа;10;Усечённое среднее;0.0018;0.0812;0.2850
Лапласа;100;Среднее;0.0023;0.0099;0.0997
Лапласа;100;Медиана;0.0024;0.0058;0.0761
Лапласа;100;$z_R$;-0.0100;0.3976;0.6306
Лапласа;100;$z_Q$;-0.0003;0.0098;0.0989
Лапласа;100;Усечённое среднее;0.0006;0.0076;0.0871
Лапласа;1000;Среднее;0.0000;0.0010;0.0309
Лапласа;1000;Медиана;0.0002;0.0005;0.0222
Лапласа;1000;$z_R$;0.0161;0.4143;0.6437
Лапласа;1000;$z_Q$;-0.0001;0.0010;0.0315
Лапласа;1000;Усечённое среднее;0.0000;0.0007;0.0267
Пуассона;10;Среднее;10.0468;1.0214;1.0106
Пуассона;10;Медиана;9.8970;1.4174;1.1905
Пуассона;10;$z_R$;10.3400;1.9164;1.3843
Пуассона;10;$z_Q$;9.9741;1.1785;1.0856
Пуассона;10;Усечённое среднее;9.9735;1.0723;1.0355
Пуассона;100;Среднее;9.9948;0.1035;0.3218
Пуассона;100;Медиана;9.8270;0.2211;0.4702
Пуассона;100;$z_R$;10.9345;0.9910;0.9955
Пуассона;100;$z_Q$;9.9192;0.1459;0.3820
Пуассона;100;Усечённое среднее;9.9021;0.1109;0.3331
Пуассона;1000;Среднее;9.9995;0.0098;0.0989
Пуассона;1000;Медиана;9.9980;0.0020;0.0447
Пуассона;1000;$z_R$;11.6260;0.6691;0.8180
Пуассона;1000;$z_Q$;9.9946;0.0025;0.0502
Пуассона;1000;Усечённое среднее;9.9033;0.0102;0.1011
Равномерное;10;Среднее;0.0099;0.1011;0.3180
Равномерное;10;Медиана;0.0111;0.2299;0.4795
Равномерное;10;$z_R$;0.0060;0.0471;0.2171
Равномерное;10;$z_Q$;0.0167;0.1405;0.3749
Равномерное;10;Усечённое среднее;0.0109;0.1315;0.3626
Равномерное;100;Среднее;0.0009;0.0099;0.0993
Равномерное;100;Медиана;0.0006;0.0287;0.1694
Равномерное;100;$z_R$;0.0000;0.0006;0.0241
Равномерное;100;$z_Q$;0.0008;0.0143;0.1196
Равномерное;100;Усечённое среднее;0.0010;0.0137;0.1172
Равномерное;1000;Среднее;-0.0004;0.0010;0.0310
Равномерное;1000;Медиана;-0.0015;0.0029;0.0538
Равномерное;1000;$z_R$;0.0001;0.0000;0.0024
Равномерное;1000;$z_Q$;0.0000;0.0015;0.0391
Равномерное;1000;Усечённое среднее;-0.0005;0.0013;0.0366
